shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10028,50.455091,-104.630140,80004,2.058
10028,50.455091,-104.630140,90001,2.058
10028,50.455094,-104.631163,90002,2.131
10028,50.455096,-104.631750,90003,2.172
10028,50.455096,-104.631750,100001,2.172
10028,50.455098,-104.632614,100002,2.234
10028,50.455094,-104.634050,100003,2.336
10028,50.455087,-104.634467,100004,2.365
10028,50.455087,-104.634467,110001,2.365
10028,50.455072,-104.635487,110002,2.438
10028,50.455076,-104.636938,110003,2.541
10028,50.455077,-104.637391,110004,2.573
10028,50.455077,-104.637391,120001,2.573
10028,50.455081,-104.638389,120002,2.644
10028,50.455085,-104.639812,120003,2.745
10028,50.455104,-104.640261,120004,2.777
10028,50.455104,-104.640261,130001,2.777
10028,50.455133,-104.640953,130002,2.826
10028,50.455165,-104.642375,130003,2.927
10028,50.455188,-104.643436,130004,3.002
10028,50.455201,-104.645291,130005,3.134
10028,50.455202,-104.645860,130006,3.174
10028,50.455202,-104.645860,140001,3.174
10028,50.455205,-104.646714,140002,3.235
10028,50.455207,-104.647280,140003,3.275
10028,50.455207,-104.647280,150001,3.275
10028,50.455207,-104.647286,150002,3.275
10028,50.455209,-104.648165,150003,3.338
10028,50.455209,-104.648321,150004,3.349
10028,50.455205,-104.649602,150005,3.440
10028,50.455207,-104.650190,150006,3.482
10028,50.455207,-104.650190,160001,3.482
10028,50.455209,-104.651067,160002,3.544
10028,50.455213,-104.652461,160003,3.643
10028,50.455209,-104.652891,160004,3.673
10028,50.455209,-104.652891,170001,3.673
10028,50.455200,-104.653912,170002,3.746
10028,50.455204,-104.655335,170003,3.847
10028,50.455203,-104.655780,170004,3.878
10028,50.455203,-104.655780,180001,3.878
10028,50.455199,-104.656800,180002,3.951
10028,50.455194,-104.658223,180003,4.052
10028,50.455196,-104.658790,180004,4.092
10028,50.455196,-104.658790,190001,4.092
10028,50.455199,-104.659660,190002,4.154
10028,50.455189,-104.661125,190003,4.258
10028,50.455188,-104.661670,190004,4.296
10028,50.455188,-104.661670,200001,4.296
10028,50.455186,-104.666041,200002,4.607
10028,50.455186,-104.666099,200003,4.611
10028,50.455186,-104.666099,210001,4.611
10028,50.455183,-104.666813,210002,4.662
10028,50.455184,-104.668253,210003,4.764
10028,50.455180,-104.668808,210004,4.803
10028,50.455180,-104.668808,220001,4.803
10028,50.455175,-104.669711,220002,4.867
10028,50.455180,-104.671126,220003,4.968
10028,50.455183,-104.672021,220004,5.031
10028,50.455183,-104.672021,230001,5.031
10028,50.455185,-104.672683,230002,5.078
10028,50.455183,-104.674026,230003,5.174
10028,50.455183,-104.674479,230004,5.206
10028,50.455183,-104.674479,240001,5.206
10028,50.455183,-104.675465,240002,5.276
10028,50.455184,-104.676902,240003,5.378
10028,50.455185,-104.677301,240004,5.406
10028,50.455185,-104.677301,250001,5.406
10028,50.455187,-104.678339,250002,5.480
10028,50.455187,-104.679652,250003,5.573
10028,50.455187,-104.680080,250004,5.603
10028,50.455187,-104.680080,260001,5.603
10028,50.455186,-104.684710,260002,5.932
10028,50.455186,-104.684710,270001,5.932
10028,50.455185,-104.686847,270002,6.084
10028,50.455930,-104.686854,270003,6.167
10029,50.480710,-104.615500,10001,0.000
10029,50.480709,-104.615148,10002,0.025
10029,50.480711,-104.613696,10003,0.128
10029,50.480708,-104.612258,10004,0.230
10029,50.480710,-104.611851,10005,0.259
10029,50.480710,-104.611851,20001,0.259
10029,50.480713,-104.610821,20002,0.332
10029,50.480717,-104.609383,20003,0.434
10029,50.480714,-104.608680,20004,0.484
10029,50.480714,-104.608680,30001,0.484
10029,50.480712,-104.607917,30002,0.538
10029,50.480716,-104.606395,30003,0.646
10029,50.480709,-104.605888,30004,0.682
10029,50.480709,-104.605888,40001,0.682
10029,50.480692,-104.604789,40002,0.760
10029,50.480697,-104.603464,40003,0.854
10029,50.480696,-104.603090,40004,0.880
10029,50.480696,-104.603090,50001,0.880
10029,50.480696,-104.600588,50002,1.058
10029,50.480697,-104.600120,50003,1.091
10029,50.480697,-104.600120,60001,1.091
10029,50.480700,-104.599151,60002,1.160
10029,50.480695,-104.597685,60003,1.264
10029,50.480696,-104.597059,60004,1.308
10029,50.480696,-104.597059,70001,1.308
10029,50.480699,-104.596261,70002,1.365
10029,50.480693,-104.595161,70003,1.443
10029,50.479527,-104.595206,70004,1.573
10029,50.479329,-104.595206,70005,1.595
10029,50.479329,-104.595206,80001,1.595
10029,50.478879,-104.595206,80002,1.645
10029,50.478882,-104.596070,80003,1.706
10029,50.478882,-104.596070,90001,1.706
10029,50.478882,-104.596263,90002,1.720
10029,50.478878,-104.597700,90003,1.822
10029,50.478883,-104.599152,90004,1.925
10029,50.478640,-104.599153,90005,1.952
10029,50.478640,-104.599153,100001,1.952
10029,50.477049,-104.599153,100002,2.129
10029,50.476819,-104.599154,100003,2.154
10029,50.476819,-104.599154,110001,2.154
10029,50.475502,-104.599152,110002,2.301
10029,50.475280,-104.599153,110003,2.326
10029,50.475280,-104.599153,120001,2.326
10029,50.473955,-104.599151,120002,2.473
10029,50.473954,-104.598760,120003,2.501
10029,50.473954,-104.598760,130001,2.501
10029,50.473950,-104.597714,130002,2.575
10029,50.473954,-104.596262,130003,2.678
10029,50.472398,-104.596262,130004,2.851
10029,50.472396,-104.596780,130005,2.888
10029,50.472396,-104.596780,140001,2.888
10029,50.472394,-104.597699,140002,2.953
10029,50.472399,-104.599150,140003,3.056
10029,50.472398,-104.599739,140004,3.098
10029,50.472398,-104.599739,150001,3.098
10029,50.472395,-104.600588,150002,3.158
10029,50.472399,-104.601750,150003,3.240
10029,50.472399,-104.601750,160001,3.240
10029,50.472400,-104.602039,160002,3.261
10029,50.472405,-104.603477,160003,3.363
10029,50.472404,-104.603960,160004,3.397
10029,50.472404,-104.603960,170001,3.397
10029,50.472401,-104.604914,170002,3.465
10029,50.472415,-104.606408,170003,3.571
10029,50.472039,-104.606411,170004,3.613
10029,50.472039,-104.606411,180001,3.613
10029,50.470850,-104.606421,180002,3.745
10029,50.470420,-104.606417,180003,3.793
10029,50.470420,-104.606417,190001,3.793
10029,50.469515,-104.606411,190002,3.893
10029,50.468449,-104.606403,190003,4.012
10029,50.467980,-104.606404,190004,4.064
10029,50.467980,-104.606404,200001,4.064
10029,50.467505,-104.606403,200002,4.117
10029,50.466227,-104.606403,200003,4.259
10029,50.462944,-104.606403,200004,4.624
10029,50.461710,-104.606402,200005,4.761
10029,50.461710,-104.606402,210001,4.761
10029,50.461398,-104.606402,210002,4.796
10029,50.459842,-104.606401,210003,4.969
10029,50.459270,-104.606400,210004,5.032
10029,50.459270,-104.606400,220001,5.032
10029,50.458295,-104.606399,220002,5.141
10029,50.456739,-104.606398,220003,5.314
10029,50.456350,-104.606399,220004,5.357
10029,50.456350,-104.606399,230001,5.357
10029,50.455094,-104.606398,230002,5.497
10029,50.453021,-104.606404,230003,5.727
10029,50.452103,-104.606407,230004,5.829
10029,50.451190,-104.606409,230005,5.931
10029,50.451190,-104.606409,240001,5.931
10029,50.450372,-104.606412,240002,6.022
10029,50.450377,-104.607916,240003,6.129
10029,50.450374,-104.609230,240004,6.222
10029,50.450374,-104.609230,250001,6.222
10029,50.450373,-104.609367,250002,6.232
10029,50.450369,-104.610818,250003,6.335
10029,50.450374,-104.612254,250004,6.437
10029,50.450378,-104.613470,250005,6.523
10029,50.450378,-104.613470,260001,6.523
10029,50.450379,-104.613691,260002,6.539
10029,50.450383,-104.615142,260003,6.642
10029,50.448801,-104.615141,260004,6.818
10029,50.448797,-104.616380,260005,6.906
10029,50.448797,-104.616380,270001,6.906
10029,50.448796,-104.616577,270002,6.920
10029,50.448810,-104.618098,270003,7.028
10029,50.449510,-104.618093,270004,7.106
10029,50.449510,-104.618093,280001,7.106
10029,50.450326,-104.618086,280002,7.196
10029,50.450996,-104.618095,280003,7.271
10029,50.452039,-104.618096,280004,7.387
10029,50.453433,-104.618098,280005,7.542
10029,50.453759,-104.618099,280006,7.578
10029,50.453759,-104.618099,290001,7.578
10029,50.455096,-104.618104,290002,7.727
10029,50.455093,-104.619420,290003,7.820
10029,50.455093,-104.619420,300001,7.820
10029,50.455093,-104.619597,300002,7.833
10029,50.455088,-104.621062,300003,7.937
10029,50.455090,-104.621500,300004,7.968
10029,50.455090,-104.621500,310001,7.968
10029,50.455093,-104.622499,310002,8.039
10029,50.455089,-104.623936,310003,8.141
10029,50.455091,-104.624531,310004,8.183
